0,1,2,3,4,5,6
tbl_84260,0,0,7,0,0,0
tbl_88330,14,14,49,0,0,0
tbl_69709,0,7,28,0,0,0
tbl_93831,0,8,24,0,0,0
tbl_93830,8,8,32,0,0,0
tbl_92057,0,7,28,0,0,0
tbl_91928,0,6,26,0,0,0
tbl_92067,0,6,26,0,0,0
tbl_198271,0,7,28,0,0,0
tbl_111484,0,7,28,0,0,0
tbl_69710,14,14,49,0,0,0
tbl_70953,0,7,28,0,0,0
tbl_111967,0,7,30,0,0,0
tbl_112035,0,7,30,0,0,0
tbl_198115,0,14,21,0,0,0
tbl_198114,7,7,21,0,0,0
tbl_72086,0,7,28,0,0,0
tbl_79887,0,6,26,0,0,0
tbl_93144,8,0,23,0,0,0
tbl_93143,0,0,8,0,0,0
tbl_71743,0,7,28,0,0,0
tbl_93398,0,16,24,0,0,0
tbl_111962,0,7,28,0,0,0
tbl_93399,8,8,24,0,0,0
tbl_72188,0,7,28,0,0,0
tbl_92056,14,14,50,0,0,0
tbl_93489,0,16,24,0,0,0
tbl_93488,8,8,41,0,0,0
tbl_68977,0,7,28,0,0,0
tbl_80044,0,7,21,0,0,0
tbl_80043,7,7,28,0,0,0
tbl_198168,0,0,28,0,0,0
tbl_91929,12,12,43,0,0,0
tbl_71830,0,0,14,0,0,0
tbl_80141,0,7,28,0,0,0
tbl_21416,14,7,28,0,0,0
tbl_111482,14,48,79,0,0,0
tbl_80181,0,7,21,0,0,0
tbl_80180,7,9,29,0,0,0
tbl_94356,0,8,24,0,0,0
tbl_79507,7,0,7,0,0,0
tbl_79569,7,7,0,0,0,0
tbl_79612,6,219,94,0,0,0
tbl_79615,6,6,31,0,0,0
tbl_79651,6,20,25,0,0,0
tbl_79842,6,6,32,0,0,0
tbl_80008,0,7,0,0,0,0
tbl_80335,0,83,0,0,0,0
tbl_80338,0,14,0,0,0,0
tbl_80505,0,14,0,0,0,0
tbl_94357,8,15,34,0,0,0
tbl_17561,14,7,28,0,0,0
tbl_79532,7,0,7,0,0,0
tbl_79514,7,0,7,0,0,0
tbl_79851,0,0,14,0,0,0
tbl_79487,7,0,7,0,0,0
tbl_79659,0,0,7,0,0,0
tbl_79886,6,49,54,0,0,0
tbl_79956,0,13,40,0,0,0
tbl_79962,0,0,7,0,0,0
tbl_80342,6,158,29,0,0,0
tbl_21209,14,7,28,0,0,0
tbl_92070,12,12,43,0,0,0
tbl_92707,0,0,16,0,0,0
tbl_72174,0,7,28,0,0,0
tbl_93400,0,0,16,0,0,0
tbl_198270,14,14,48,0,0,0
tbl_8277,14,7,28,0,0,0
tbl_85655,7,0,7,0,0,0
tbl_19035,14,7,28,0,0,0
tbl_94410,0,0,16,0,0,0
tbl_92071,0,6,26,0,0,0
tbl_70820,0,0,14,0,0,0
tbl_85679,7,0,7,0,0,0
tbl_85631,7,0,7,0,0,0
tbl_91923,0,6,26,0,0,0
tbl_329572,0,0,8,0,0,0
tbl_10323,14,7,28,0,0,0
tbl_79575,0,0,14,0,0,0
tbl_85670,7,0,7,0,0,0
tbl_76150,0,7,28,0,0,0
tbl_71002,0,0,28,0,0,0
tbl_8073,14,7,28,0,0,0
tbl_12609,6,0,0,0,0,0
tbl_35004,12,6,0,0,0,0
tbl_78171,7,131,132,0,0,0
tbl_85681,7,0,7,0,0,0
tbl_86542,0,7,7,0,0,0
tbl_86554,7,7,35,0,0,0
tbl_85658,7,0,7,0,0,0
tbl_85657,7,0,7,0,0,0
tbl_111761,0,7,28,0,0,0
tbl_12187,14,7,28,0,0,0
tbl_12722,6,0,0,0,0,0
tbl_35060,12,6,0,0,0,0
tbl_163192,14,110,65,0,5,0
tbl_71995,0,7,28,0,0,0
tbl_248933,0,0,0,0,0,0
tbl_248934,0,0,280,0,0,0
tbl_253079,0,0,9,0,0,0
tbl_157910,0,7,28,0,0,0
tbl_22190,0,0,0,0,0,406
tbl_91947,0,7,28,0,0,0
tbl_20669,14,7,28,0,0,0
tbl_76624,0,7,28,0,0,0
tbl_70952,14,14,48,0,0,0
tbl_17632,14,7,28,0,0,0
tbl_112036,14,178,123,0,0,0
tbl_79967,0,7,21,0,0,0
tbl_72087,14,14,48,0,0,0
tbl_111966,14,14,50,0,0,0
tbl_10577,7,0,6,0,0,0
tbl_79888,12,12,42,0,0,0
tbl_79926,0,7,28,0,0,0
tbl_20580,14,7,28,0,0,0
tbl_84274,0,7,21,0,0,0
tbl_71741,14,56,48,0,0,0
tbl_84275,7,284,91,0,0,0
tbl_79640,0,14,21,0,0,0
tbl_79639,7,7,41,0,0,0
tbl_111961,14,14,61,0,0,0
tbl_87958,0,7,21,0,0,0
tbl_72189,14,14,48,0,0,0
tbl_87959,7,7,28,0,0,0
tbl_13677,2,0,0,0,0,0
tbl_92419,8,53,78,0,0,0
tbl_92418,0,0,8,0,0,0
tbl_10509,7,0,6,0,0,0
tbl_79832,0,14,21,0,0,0
tbl_79831,7,7,21,0,0,0
tbl_68976,14,14,48,0,0,0
tbl_84913,0,7,21,0,0,0
tbl_84914,7,7,28,0,0,0
tbl_93708,0,8,24,0,0,0
tbl_93710,8,8,39,0,0,0
tbl_80142,14,14,48,0,0,0
tbl_72175,14,14,48,0,0,0
tbl_85297,0,7,21,0,0,0
tbl_85298,7,288,92,0,0,0
tbl_93711,0,16,24,0,0,0
tbl_93712,8,8,24,0,0,0
tbl_71829,0,27,41,0,0,0
tbl_92074,12,12,43,0,0,0
tbl_87893,0,14,21,0,0,0
tbl_87892,7,7,35,0,0,0
tbl_198189,0,0,7,0,0,0
tbl_71863,7,0,7,0,0,0
tbl_79770,0,7,21,0,0,0
tbl_91924,12,96,43,0,0,0
tbl_76149,14,14,48,0,0,0
tbl_79634,0,15,21,0,0,0
tbl_111760,14,14,49,0,0,0
tbl_93907,0,16,24,0,0,0
tbl_71996,14,41,48,0,0,0
tbl_93908,8,8,24,0,0,0
tbl_157909,14,14,52,0,0,0
tbl_93166,0,8,24,0,0,0
tbl_93167,8,8,32,0,0,0
tbl_91948,14,14,49,0,0,0
tbl_79927,14,14,48,0,0,0
tbl_76623,14,14,48,0,0,0
tbl_92716,0,0,8,0,0,0
tbl_93434,0,0,8,0,0,0
tbl_94418,0,0,8,0,0,0
tbl_94228,8,0,16,0,0,0
